Cid,Year,Ethnicity,Sex,Cause of Death,Count,Percent
20361,2008,ASIAN & PACIFIC ISLANDER,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,31,2
20362,2008,ASIAN & PACIFIC ISLANDER,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,7,0
20363,2008,ASIAN & PACIFIC ISLANDER,MALE,INFLUENZA AND PNEUMONIA,90,6
20364,2008,ASIAN & PACIFIC ISLANDER,MALE,INTENTIONAL SELF-HARM (SUICIDE),30,2
20365,2008,ASIAN & PACIFIC ISLANDER,MALE,MALIGNANT NEOPLASMS,477,29
20366,2008,ASIAN & PACIFIC ISLANDER,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,5,0
20367,2008,ASIAN & PACIFIC ISLANDER,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",14,1
20368,2008,ASIAN & PACIFIC ISLANDER,MALE,PARKINSONS DISEASE,7,0
20369,2008,ASIAN & PACIFIC ISLANDER,MALE,SEPTICEMIA,5,0
20370,2008,ASIAN & PACIFIC ISLANDER,MALE,VIRAL HEPATITIS,11,1
20371,2008,HISPANIC,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,68,2
20372,2008,HISPANIC,FEMALE,ALZHEIMERS DISEASE,61,1
20373,2008,HISPANIC,FEMALE,AORTIC ANEURYSM AND DISSECTION,9,0
20374,2008,HISPANIC,FEMALE,ASSAULT (HOMICIDE),25,1
20375,2008,HISPANIC,FEMALE,ATHEROSCLEROSIS,16,0
20376,2008,HISPANIC,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,12,0
20377,2008,HISPANIC,FEMALE,CEREBROVASCULAR DISEASE,152,3
20378,2008,HISPANIC,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,63,1
20379,2008,HISPANIC,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,156,3
20380,2008,HISPANIC,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",36,1
20381,2008,HISPANIC,FEMALE,DIABETES MELLITUS,228,5
20382,2008,HISPANIC,FEMALE,DISEASES OF HEART,1445,32
20383,2008,HISPANIC,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,104,2
20384,2008,HISPANIC,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,113,3
20385,2008,HISPANIC,FEMALE,INFLUENZA AND PNEUMONIA,227,5
20386,2008,HISPANIC,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),18,0
20387,2008,HISPANIC,FEMALE,MALIGNANT NEOPLASMS,1046,23
20388,2008,HISPANIC,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",47,1
20389,2008,HISPANIC,FEMALE,PARKINSONS DISEASE,13,0
20390,2008,HISPANIC,FEMALE,PNEUMONITIS DUE TO SOLIDS AND LIQUIDS,8,0
20391,2008,HISPANIC,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",9,0
20392,2008,HISPANIC,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,43,1
20393,2008,HISPANIC,FEMALE,SEPTICEMIA,34,1
20394,2008,HISPANIC,FEMALE,SHORT GESTATION/LBW,12,0
20395,2008,HISPANIC,FEMALE,VIRAL HEPATITIS,51,1
20396,2008,HISPANIC,MALE,ACCIDENTS EXCEPT DRUG POISONING,186,4
20397,2008,HISPANIC,MALE,ALZHEIMERS DISEASE,15,0
20398,2008,HISPANIC,MALE,ANEMIAS,8,0
20399,2008,HISPANIC,MALE,AORTIC ANEURYSM AND DISSECTION,13,0
20400,2008,HISPANIC,MALE,ASSAULT (HOMICIDE),119,2
20401,2008,HISPANIC,MALE,BENIGN AND UNCERTAIN NEOPLASMS,9,0
20402,2008,HISPANIC,MALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,13,0
20403,2008,HISPANIC,MALE,CEREBROVASCULAR DISEASE,124,3
20404,2008,HISPANIC,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,149,3
20405,2008,HISPANIC,MALE,CHRONIC LOWER RESPIRATORY DISEASES,132,3
20406,2008,HISPANIC,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",50,1
20407,2008,HISPANIC,MALE,DIABETES MELLITUS,191,4
20408,2008,HISPANIC,MALE,DISEASES OF HEART,1330,27
20409,2008,HISPANIC,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,70,1
20410,2008,HISPANIC,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,222,5
20411,2008,HISPANIC,MALE,INFLUENZA AND PNEUMONIA,187,4
20412,2008,HISPANIC,MALE,INTENTIONAL SELF-HARM (SUICIDE),70,1
20413,2008,HISPANIC,MALE,MALIGNANT NEOPLASMS,1080,22
20414,2008,HISPANIC,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,48,1
20415,2008,HISPANIC,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",28,1
20416,2008,HISPANIC,MALE,PARKINSONS DISEASE,19,0
20417,2008,HISPANIC,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,172,4
20418,2008,HISPANIC,MALE,SEPTICEMIA,37,1
20419,2008,HISPANIC,MALE,SHORT GESTATION/LBW,14,0
20420,2008,HISPANIC,MALE,VIRAL HEPATITIS,106,2
20421,2008,NON-HISPANIC BLACK,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,70,1
20422,2008,NON-HISPANIC BLACK,FEMALE,ALZHEIMERS DISEASE,62,1
20423,2008,NON-HISPANIC BLACK,FEMALE,ANEMIAS,15,0
20424,2008,NON-HISPANIC BLACK,FEMALE,ASSAULT (HOMICIDE),36,0
20425,2008,NON-HISPANIC BLACK,FEMALE,ATHEROSCLEROSIS,30,0
20426,2008,NON-HISPANIC BLACK,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,26,0
20427,2008,NON-HISPANIC BLACK,FEMALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,22,0
20428,2008,NON-HISPANIC BLACK,FEMALE,CEREBROVASCULAR DISEASE,267,4
20429,2008,NON-HISPANIC BLACK,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,40,1
20430,2008,NON-HISPANIC BLACK,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,191,3
20431,2008,NON-HISPANIC BLACK,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",38,1
20432,2008,NON-HISPANIC BLACK,FEMALE,DIABETES MELLITUS,380,5
20433,2008,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2725,36
20434,2008,NON-HISPANIC BLACK,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,192,3
20435,2008,NON-HISPANIC BLACK,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,227,3
20436,2008,NON-HISPANIC BLACK,FEMALE,INFLUENZA AND PNEUMONIA,318,4
20437,2008,NON-HISPANIC BLACK,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),20,0
20438,2008,NON-HISPANIC BLACK,FEMALE,MALIGNANT NEOPLASMS,1756,24
20439,2008,NON-HISPANIC BLACK,FEMALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,14,0
20440,2008,NON-HISPANIC BLACK,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",71,1
20441,2008,NON-HISPANIC BLACK,FEMALE,PEPTIC ULCER,14,0
20442,2008,NON-HISPANIC BLACK,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",22,0
20443,2008,NON-HISPANIC BLACK,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,56,1
20444,2008,NON-HISPANIC BLACK,FEMALE,SEPTICEMIA,68,1
20445,2008,NON-HISPANIC BLACK,FEMALE,SHORT GESTATION/LBW,26,0
20446,2008,NON-HISPANIC BLACK,FEMALE,VIRAL HEPATITIS,29,0
20447,2008,NON-HISPANIC BLACK,MALE,ACCIDENTS EXCEPT DRUG POISONING,146,2
20448,2008,NON-HISPANIC BLACK,MALE,ALZHEIMERS DISEASE,16,0
20449,2008,NON-HISPANIC BLACK,MALE,AORTIC ANEURYSM AND DISSECTION,17,0
20450,2008,NON-HISPANIC BLACK,MALE,ASSAULT (HOMICIDE),286,4
20451,2008,NON-HISPANIC BLACK,MALE,BENIGN AND UNCERTAIN NEOPLASMS,20,0
20452,2008,NON-HISPANIC BLACK,MALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,20,0
20453,2008,NON-HISPANIC BLACK,MALE,CEREBROVASCULAR DISEASE,206,3
20454,2008,NON-HISPANIC BLACK,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,64,1
20455,2008,NON-HISPANIC BLACK,MALE,CHRONIC LOWER RESPIRATORY DISEASES,169,3
20456,2008,NON-HISPANIC BLACK,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",45,1
20457,2008,NON-HISPANIC BLACK,MALE,DIABETES MELLITUS,265,4
20458,2008,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,2077,32
20459,2008,NON-HISPANIC BLACK,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,134,2
20460,2008,NON-HISPANIC BLACK,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,356,5
20461,2008,NON-HISPANIC BLACK,MALE,INFLUENZA AND PNEUMONIA,222,3
20462,2008,NON-HISPANIC BLACK,MALE,INTENTIONAL SELF-HARM (SUICIDE),45,1
20463,2008,NON-HISPANIC BLACK,MALE,MALIGNANT NEOPLASMS,1464,22
20464,2008,NON-HISPANIC BLACK,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,37,1
20465,2008,NON-HISPANIC BLACK,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",54,1
20466,2008,NON-HISPANIC BLACK,MALE,PEPTIC ULCER,17,0
20467,2008,NON-HISPANIC BLACK,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,132,2
20468,2008,NON-HISPANIC BLACK,MALE,RESPIRATORY DISTRESS OF NEWBORN,18,0
20469,2008,NON-HISPANIC BLACK,MALE,SEPTICEMIA,49,1
20470,2008,NON-HISPANIC BLACK,MALE,SHORT GESTATION/LBW,22,0
20471,2008,NON-HISPANIC BLACK,MALE,VIRAL HEPATITIS,62,1
20472,2008,NON-HISPANIC WHITE,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,193,1
20473,2008,NON-HISPANIC WHITE,FEMALE,ALZHEIMERS DISEASE,151,1
20474,2008,NON-HISPANIC WHITE,FEMALE,AORTIC ANEURYSM AND DISSECTION,26,0
20475,2008,NON-HISPANIC WHITE,FEMALE,ATHEROSCLEROSIS,54,0
20476,2008,NON-HISPANIC WHITE,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,65,0
20477,2008,NON-HISPANIC WHITE,FEMALE,CEREBROVASCULAR DISEASE,379,3
20478,2008,NON-HISPANIC WHITE,FEMALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,20,0
20479,2008,NON-HISPANIC WHITE,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,61,0
20480,2008,NON-HISPANIC WHITE,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,518,4
20481,2008,NON-HISPANIC WHITE,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",42,0
20482,2008,NON-HISPANIC WHITE,FEMALE,DIABETES MELLITUS,210,1
20483,2008,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,6836,48
20484,2008,NON-HISPANIC WHITE,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,151,1
20485,2008,NON-HISPANIC WHITE,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,25,0
20486,2008,NON-HISPANIC WHITE,FEMALE,INFLUENZA AND PNEUMONIA,621,4
20487,2008,NON-HISPANIC WHITE,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),57,0
20488,2008,NON-HISPANIC WHITE,FEMALE,MALIGNANT NEOPLASMS,3366,24
20489,2008,NON-HISPANIC WHITE,FEMALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,15,0
20490,2008,NON-HISPANIC WHITE,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",71,0
20491,2008,NON-HISPANIC WHITE,FEMALE,PARKINSONS DISEASE,37,0
20492,2008,NON-HISPANIC WHITE,FEMALE,PEPTIC ULCER,29,0
20493,2008,NON-HISPANIC WHITE,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,86,1
20494,2008,NON-HISPANIC WHITE,FEMALE,SEPTICEMIA,57,0
20495,2008,NON-HISPANIC WHITE,FEMALE,SHORT GESTATION/LBW,14,0
20496,2008,NON-HISPANIC WHITE,FEMALE,VIRAL HEPATITIS,27,0
20497,2008,NON-HISPANIC WHITE,MALE,ACCIDENTS EXCEPT DRUG POISONING,272,2
20498,2008,NON-HISPANIC WHITE,MALE,ALZHEIMERS DISEASE,58,0
20499,2008,NON-HISPANIC WHITE,MALE,AORTIC ANEURYSM AND DISSECTION,50,0
20500,2008,NON-HISPANIC WHITE,MALE,ASSAULT (HOMICIDE),44,0
20501,2008,NON-HISPANIC WHITE,MALE,ATHEROSCLEROSIS,53,0
20502,2008,NON-HISPANIC WHITE,MALE,BENIGN AND UNCERTAIN NEOPLASMS,66,1
20503,2008,NON-HISPANIC WHITE,MALE,CEREBROVASCULAR DISEASE,245,2
20504,2008,NON-HISPANIC WHITE,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,136,1
20505,2008,NON-HISPANIC WHITE,MALE,CHRONIC LOWER RESPIRATORY DISEASES,347,3
20506,2008,NON-HISPANIC WHITE,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",51,0
20507,2008,NON-HISPANIC WHITE,MALE,DIABETES MELLITUS,247,2
20508,2008,NON-HISPANIC WHITE,MALE,DISEASES OF HEART,5503,43
20509,2008,NON-HISPANIC WHITE,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,165,1
20510,2008,NON-HISPANIC WHITE,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,104,1
20511,2008,NON-HISPANIC WHITE,MALE,INFLUENZA AND PNEUMONIA,529,4
20512,2008,NON-HISPANIC WHITE,MALE,INTENTIONAL SELF-HARM (SUICIDE),195,2
20513,2008,NON-HISPANIC WHITE,MALE,MALIGNANT NEOPLASMS,3362,26
20514,2008,NON-HISPANIC WHITE,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,79,1
20515,2008,NON-HISPANIC WHITE,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",79,1
20516,2008,NON-HISPANIC WHITE,MALE,PARKINSONS DISEASE,61,0
20517,2008,NON-HISPANIC WHITE,MALE,PEPTIC ULCER,24,0
20518,2008,NON-HISPANIC WHITE,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,227,2
20519,2008,NON-HISPANIC WHITE,MALE,SEPTICEMIA,60,0
20520,2008,NON-HISPANIC WHITE,MALE,SHORT GESTATION/LBW,14,0
20521,2008,NON-HISPANIC WHITE,MALE,VIRAL HEPATITIS,74,1
20522,2009,ASIAN & PACIFIC ISLANDER,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,37,3
20523,2009,ASIAN & PACIFIC ISLANDER,FEMALE,ALZHEIMERS DISEASE,14,1
20524,2009,ASIAN & PACIFIC ISLANDER,FEMALE,ASSAULT (HOMICIDE),5,0
20525,2009,ASIAN & PACIFIC ISLANDER,FEMALE,ATHEROSCLEROSIS,8,1
20526,2009,ASIAN & PACIFIC ISLANDER,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,7,1
20527,2009,ASIAN & PACIFIC ISLANDER,FEMALE,CEREBROVASCULAR DISEASE,61,4
20528,2009,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,5,0
20529,2009,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,30,2
20530,2009,ASIAN & PACIFIC ISLANDER,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",14,1
20531,2009,ASIAN & PACIFIC ISLANDER,FEMALE,DIABETES MELLITUS,55,4
20532,2009,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART,449,33
20533,2009,ASIAN & PACIFIC ISLANDER,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,18,1
20534,2009,ASIAN & PACIFIC ISLANDER,FEMALE,INFLUENZA AND PNEUMONIA,83,6
20535,2009,ASIAN & PACIFIC ISLANDER,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),18,1
20536,2009,ASIAN & PACIFIC ISLANDER,FEMALE,MALIGNANT NEOPLASMS,399,29
20537,2009,ASIAN & PACIFIC ISLANDER,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",12,1
20538,2009,ASIAN & PACIFIC ISLANDER,FEMALE,SEPTICEMIA,7,1
20539,2009,ASIAN & PACIFIC ISLANDER,FEMALE,VIRAL HEPATITIS,13,1
20540,2009,ASIAN & PACIFIC ISLANDER,MALE,ACCIDENTS EXCEPT DRUG POISONING,56,3
20541,2009,ASIAN & PACIFIC ISLANDER,MALE,ALZHEIMERS DISEASE,9,1
20542,2009,ASIAN & PACIFIC ISLANDER,MALE,AORTIC ANEURYSM AND DISSECTION,11,1
20543,2009,ASIAN & PACIFIC ISLANDER,MALE,ASSAULT (HOMICIDE),9,1
20544,2009,ASIAN & PACIFIC ISLANDER,MALE,BENIGN AND UNCERTAIN NEOPLASMS,11,1
20545,2009,ASIAN & PACIFIC ISLANDER,MALE,CEREBROVASCULAR DISEASE,58,4
20546,2009,ASIAN & PACIFIC ISLANDER,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,17,1
20547,2009,ASIAN & PACIFIC ISLANDER,MALE,CHRONIC LOWER RESPIRATORY DISEASES,51,3
20548,2009,ASIAN & PACIFIC ISLANDER,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",14,1
20549,2009,ASIAN & PACIFIC ISLANDER,MALE,DIABETES MELLITUS,48,3
20550,2009,ASIAN & PACIFIC ISLANDER,MALE,DISEASES OF HEART,555,34
20551,2009,ASIAN & PACIFIC ISLANDER,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,26,2
20552,2009,ASIAN & PACIFIC ISLANDER,MALE,INFLUENZA AND PNEUMONIA,84,5
20553,2009,ASIAN & PACIFIC ISLANDER,MALE,INTENTIONAL SELF-HARM (SUICIDE),35,2
20554,2009,ASIAN & PACIFIC ISLANDER,MALE,MALIGNANT NEOPLASMS,508,31
20555,2009,ASIAN & PACIFIC ISLANDER,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,8,0
20556,2009,ASIAN & PACIFIC ISLANDER,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",9,1
20557,2009,ASIAN & PACIFIC ISLANDER,MALE,PARKINSONS DISEASE,10,1
20558,2009,ASIAN & PACIFIC ISLANDER,MALE,VIRAL HEPATITIS,13,1
20559,2009,HISPANIC,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,56,1
20560,2009,HISPANIC,FEMALE,ALZHEIMERS DISEASE,56,1
20561,2009,HISPANIC,FEMALE,AORTIC ANEURYSM AND DISSECTION,9,0
20562,2009,HISPANIC,FEMALE,ASSAULT (HOMICIDE),26,1
20563,2009,HISPANIC,FEMALE,ATHEROSCLEROSIS,21,0
20564,2009,HISPANIC,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,10,0
20565,2009,HISPANIC,FEMALE,CEREBROVASCULAR DISEASE,154,4
20566,2009,HISPANIC,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,40,1
20567,2009,HISPANIC,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,155,4
20568,2009,HISPANIC,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",30,1
20569,2009,HISPANIC,FEMALE,DIABETES MELLITUS,215,5
20570,2009,HISPANIC,FEMALE,DISEASES OF HEART,1349,31
20571,2009,HISPANIC,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,84,2
20572,2009,HISPANIC,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,96,2
20573,2009,HISPANIC,FEMALE,INFLUENZA AND PNEUMONIA,216,5
20574,2009,HISPANIC,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),21,0
20575,2009,HISPANIC,FEMALE,MALIGNANT NEOPLASMS,1098,25
20576,2009,HISPANIC,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",35,1
20577,2009,HISPANIC,FEMALE,PARKINSONS DISEASE,11,0
20578,2009,HISPANIC,FEMALE,PEPTIC ULCER,9,0
20579,2009,HISPANIC,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",10,0
20580,2009,HISPANIC,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,57,1
20581,2009,HISPANIC,FEMALE,SEPTICEMIA,29,1
20582,2009,HISPANIC,FEMALE,SHORT GESTATION/LBW,12,0
20583,2009,HISPANIC,FEMALE,VIRAL HEPATITIS,48,1
20584,2009,HISPANIC,MALE,ACCIDENTS EXCEPT DRUG POISONING,170,3
20585,2009,HISPANIC,MALE,ALZHEIMERS DISEASE,25,1
20586,2009,HISPANIC,MALE,AORTIC ANEURYSM AND DISSECTION,12,0
20587,2009,HISPANIC,MALE,ASSAULT (HOMICIDE),106,2
20588,2009,HISPANIC,MALE,ATHEROSCLEROSIS,10,0
20589,2009,HISPANIC,MALE,BENIGN AND UNCERTAIN NEOPLASMS,14,0
20590,2009,HISPANIC,MALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,15,0
20591,2009,HISPANIC,MALE,CEREBROVASCULAR DISEASE,143,3
20592,2009,HISPANIC,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,119,2
20593,2009,HISPANIC,MALE,CHRONIC LOWER RESPIRATORY DISEASES,111,2
20594,2009,HISPANIC,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",28,1
20595,2009,HISPANIC,MALE,DIABETES MELLITUS,172,4
20596,2009,HISPANIC,MALE,DISEASES OF HEART,1382,28
20597,2009,HISPANIC,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,77,2
20598,2009,HISPANIC,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,196,4
20599,2009,HISPANIC,MALE,INFLUENZA AND PNEUMONIA,183,4
20600,2009,HISPANIC,MALE,INTENTIONAL SELF-HARM (SUICIDE),72,1
20601,2009,HISPANIC,MALE,MALIGNANT NEOPLASMS,1180,24
20602,2009,HISPANIC,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,41,1
20603,2009,HISPANIC,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",29,1
20604,2009,HISPANIC,MALE,PARKINSONS DISEASE,16,0
20605,2009,HISPANIC,MALE,PEPTIC ULCER,10,0
20606,2009,HISPANIC,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,145,3
20607,2009,HISPANIC,MALE,SEPTICEMIA,22,0
20608,2009,HISPANIC,MALE,SHORT GESTATION/LBW,24,0
20609,2009,HISPANIC,MALE,VIRAL HEPATITIS,94,2
20610,2009,NON-HISPANIC BLACK,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,71,1
20611,2009,NON-HISPANIC BLACK,FEMALE,ALZHEIMERS DISEASE,79,1
20612,2009,NON-HISPANIC BLACK,FEMALE,ANEMIAS,16,0
20613,2009,NON-HISPANIC BLACK,FEMALE,AORTIC ANEURYSM AND DISSECTION,19,0
20614,2009,NON-HISPANIC BLACK,FEMALE,ASSAULT (HOMICIDE),29,0
20615,2009,NON-HISPANIC BLACK,FEMALE,ATHEROSCLEROSIS,30,0
20616,2009,NON-HISPANIC BLACK,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,35,0
20617,2009,NON-HISPANIC BLACK,FEMALE,CEREBROVASCULAR DISEASE,245,3
20618,2009,NON-HISPANIC BLACK,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,35,0
20619,2009,NON-HISPANIC BLACK,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,188,3
20620,2009,NON-HISPANIC BLACK,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",34,0
20621,2009,NON-HISPANIC BLACK,FEMALE,DIABETES MELLITUS,384,5
20622,2009,NON-HISPANIC BLACK,FEMALE,DISEASES OF HEART,2535,35
20623,2009,NON-HISPANIC BLACK,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,227,3
20624,2009,NON-HISPANIC BLACK,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,208,3
20625,2009,NON-HISPANIC BLACK,FEMALE,INFLUENZA AND PNEUMONIA,281,4
20626,2009,NON-HISPANIC BLACK,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),17,0
20627,2009,NON-HISPANIC BLACK,FEMALE,MALIGNANT NEOPLASMS,1736,24
20628,2009,NON-HISPANIC BLACK,FEMALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,22,0
20629,2009,NON-HISPANIC BLACK,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",75,1
20630,2009,NON-HISPANIC BLACK,FEMALE,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",24,0
20631,2009,NON-HISPANIC BLACK,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,73,1
20632,2009,NON-HISPANIC BLACK,FEMALE,SEPTICEMIA,46,1
20633,2009,NON-HISPANIC BLACK,FEMALE,SHORT GESTATION/LBW,26,0
20634,2009,NON-HISPANIC BLACK,FEMALE,VIRAL HEPATITIS,40,1
20635,2009,NON-HISPANIC BLACK,MALE,ACCIDENTS EXCEPT DRUG POISONING,134,2
20636,2009,NON-HISPANIC BLACK,MALE,ALZHEIMERS DISEASE,30,0
20637,2009,NON-HISPANIC BLACK,MALE,ANEMIAS,18,0
20638,2009,NON-HISPANIC BLACK,MALE,AORTIC ANEURYSM AND DISSECTION,23,0
20639,2009,NON-HISPANIC BLACK,MALE,ASSAULT (HOMICIDE),255,4
20640,2009,NON-HISPANIC BLACK,MALE,ATHEROSCLEROSIS,21,0
20641,2009,NON-HISPANIC BLACK,MALE,BENIGN AND UNCERTAIN NEOPLASMS,24,0
20642,2009,NON-HISPANIC BLACK,MALE,CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,18,0
20643,2009,NON-HISPANIC BLACK,MALE,CEREBROVASCULAR DISEASE,154,2
20644,2009,NON-HISPANIC BLACK,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,67,1
20645,2009,NON-HISPANIC BLACK,MALE,CHRONIC LOWER RESPIRATORY DISEASES,147,2
20646,2009,NON-HISPANIC BLACK,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",43,1
20647,2009,NON-HISPANIC BLACK,MALE,DIABETES MELLITUS,285,4
20648,2009,NON-HISPANIC BLACK,MALE,DISEASES OF HEART,2068,32
20649,2009,NON-HISPANIC BLACK,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,131,2
20650,2009,NON-HISPANIC BLACK,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,329,5
